Region,ISO 3166,COMTRADE,IFA
Western Asia,AFG,Afghanistan,Afghanistan
Africa,AGO,Angola,Others Africa
Western and Central Europe,ALB,Albania,Albania
Western Asia,ARE,United Arab Emirates,United Arab Emirates
Latin America,ARG,Argentina,Argentina
Eastern Europe and Central Asia,ARM,Armenia,Armenia
Latin America,ATG,Antigua and Barbuda,Others Latin America and the Caribbean
Oceania,AUS,Australia,Australia
Western and Central Europe,AUT,Austria,Austria
Eastern Europe and Central Asia,AZE,Azerbaijan,Azerbaijan
Africa,BDI,Burundi,Others Africa
Western and Central Europe,BEL,Belgium,Belgium and Luxemburg
Africa,BEN,Benin,Others Africa
Africa,BFA,Burkina Faso,Others Africa
South Asia,BGD,Bangladesh,Bangladesh
Western and Central Europe,BGR,Bulgaria,Bulgaria
Western Asia,BHR,Bahrain,Bahrain
Latin America,BHS,Bahamas,Others Latin America and the Caribbean
Western and Central Europe,BIH,Bosnia Herzegovina,Bosnia and Herzegovina
Eastern Europe and Central Asia,BLR,Belarus,Belarus
Latin America,BLZ,Belize,Others Latin America and the Caribbean
Latin America,BMU,Bermuda,Others Latin America and the Caribbean
Latin America,BOL,Bolivia (Plurinational State of),Bolivia
Latin America,BRA,Brazil,Brazil
Latin America,BRB,Barbados,Others Latin America and the Caribbean
East Asia (excl. China),BRN,Brunei Darussalam,Others East Asia
Africa,CAF,Central African Rep.,Others Africa
North America,CAN,Canada,Canada
Western and Central Europe,CHE,Switzerland,Switzerland
Latin America,CHL,Chile,Chile
China,CHN,China,China
Africa,CIV,Côte d’Ivoire,Côte d’Ivoire
Africa,CMR,Cameroon,Cameroon
Africa,COD,Dem. Rep. of the Congo,Rep. Congo DRC
Africa,COG,Congo,Congo
Latin America,COL,Colombia,Colombia
Latin America,CRI,Costa Rica,Costa Rica
Latin America,CUB,Cuba,Cuba
Latin America,CYM,Cayman Isds,
Western Asia,CYP,Cyprus,Cyprus
Western and Central Europe,CZE,Czechia,Czechia
Western and Central Europe,DEU,Germany,Germany
Africa,DJI,Djibouti,Others Africa
Latin America,DMA,Dominica,Others Latin America and the Caribbean
Western and Central Europe,DNK,Denmark,Denmark
Latin America,DOM,Dominican Rep.,Dominican Republic
Africa,DZA,Algeria,Algeria
Latin America,ECU,Ecuador,Ecuador
Africa,EGY,Egypt,Egypt
Africa,ERI,Eritrea,Others Africa
Western and Central Europe,ESP,Spain,Spain
Eastern Europe and Central Asia,EST,Estonia,Estonia
Africa,ETH,Ethiopia,Ethiopia
Western and Central Europe,FIN,Finland,Finland
Oceania,FJI,Fiji,Others Oceania
Western and Central Europe,FRA,France,France
Africa,GAB,Gabon,Others Africa
Western and Central Europe,GBR,United Kingdom,United Kingdom
Eastern Europe and Central Asia,GEO,Georgia,Georgia
Africa,GHA,Ghana,Others Africa
Africa,GIN,Guinea,Others Africa
Africa,GMB,Gambia,Others Africa
Africa,GNQ,Equatorial Guinea,Others Africa
Western and Central Europe,GRC,Greece,Greece
Latin America,GRD,Grenada,Others Latin America and the Caribbean
Latin America,GTM,Guatemala,Guatemala
Latin America,GUY,Guyana,Others Latin America and the Caribbean
Latin America,HND,Honduras,Others Latin America and the Caribbean
Western and Central Europe,HRV,Croatia,Croatia
Latin America,HTI,Haiti,Others Latin America and the Caribbean
Western and Central Europe,HUN,Hungary,Hungary
East Asia (excl. China),IDN,Indonesia,Indonesia
South Asia,IND,India,India
Western and Central Europe,IRL,Ireland,Ireland
Western Asia,IRN,Iran,Iran
Western Asia,IRQ,Iraq,Iraq
Western and Central Europe,ISL,Iceland,Iceland
Western Asia,ISR,Israel,Israel
Western and Central Europe,ITA,Italy,Italy
Latin America,JAM,Jamaica,Others Latin America and the Caribbean
Western Asia,JOR,Jordan,Jordan
East Asia (excl. China),JPN,Japan,Japan
Eastern Europe and Central Asia,KAZ,Kazakhstan,Kazakhstan
Africa,KEN,Kenya,Kenya
Eastern Europe and Central Asia,KGZ,Kyrgyzstan,Kyrgyzstan
East Asia (excl. China),KHM,Cambodia,Others East Asia
Latin America,KNA,Saint Kitts and Nevis,Others Latin America and the Caribbean
East Asia (excl. China),KOR,Rep. of Korea,Korea Republic
Western Asia,KWT,Kuwait,Kuwait
East Asia (excl. China),LAO,Lao People's Dem. Rep.,Others East Asia
Western Asia,LBN,Lebanon,Lebanon
Africa,LBR,Liberia,Others Africa
Africa,LBY,Libya,Libya
Latin America,LCA,Saint Lucia,Others Latin America and the Caribbean
South Asia,LKA,Sri Lanka,Sri Lanka
Eastern Europe and Central Asia,LTU,Lithuania,Lithuania
Western and Central Europe,LUX,Luxembourg,Belgium and Luxemburg
Eastern Europe and Central Asia,LVA,Latvia,Latvia
Africa,MAR,Morocco,Morocco
Eastern Europe and Central Asia,MDA,Rep. of Moldova,Moldova Republic of
Africa,MDG,Madagascar,Others Africa
Latin America,MEX,Mexico,Mexico
Western and Central Europe,MKD,TFYR of Macedonia,Macedonia
Africa,MLI,Mali,Others Africa
East Asia (excl. China),MMR,Myanmar,Myanmar
Western and Central Europe,MNE,Montenegro,
East Asia (excl. China),MNG,Mongolia,Others East Asia
Africa,MOZ,Mozambique,Others Africa
Africa,MRT,Mauritania,Others Africa
Africa,MUS,Mauritius,Mauritius
Africa,MWI,Malawi,Others Africa
East Asia (excl. China),MYS,Malaysia,Malaysia
Africa,NAM,Namibia,Others Africa
Oceania,NCL,New Caledonia,Others Oceania
Africa,NER,Niger,Others Africa
Africa,NGA,Nigeria,Nigeria
Latin America,NIC,Nicaragua,Nicaragua
Western and Central Europe,NLD,Netherlands,Netherlands
Western and Central Europe,NOR,Norway,Norway
South Asia,NPL,Nepal,Nepal
Oceania,NRU,Nauru,Nauru
Oceania,NZL,New Zealand,New Zealand
Western Asia,OMN,Oman,Oman
South Asia,PAK,Pakistan,Pakistan
Latin America,PAN,Panama,Others Latin America and the Caribbean
Latin America,PER,Peru,Peru
East Asia (excl. China),PHL,Philippines,Philippines
Oceania,PLW,Palau,Others Oceania
Oceania,PNG,Papua New Guinea ,Others Oceania
Western and Central Europe,POL,Poland,Poland
East Asia (excl. China),PRK,Dem. People's Rep. of Korea,Korea DPR
Western and Central Europe,PRT,Portugal,Portugal
Latin America,PRY,Paraguay,Paraguay
Western Asia,PSE,State of Palestine,Others West Asia
Oceania,PYF,French Polynesia,Others Oceania
Western Asia,QAT,Qatar,Qatar
Western and Central Europe,ROU,Romania,Romania
Eastern Europe and Central Asia,RUS,Russian Federation,Russian Federation
Africa,RWA,Rwanda,Others Africa
Western Asia,SAU,Saudi Arabia,Saudi Arabia
Africa,SDN,Sudan,Sudan
Africa,SEN,Senegal,Senegal
East Asia (excl. China),SGP,Singapore,Others East Asia
Oceania,SLB,Solomon Isds,Others Oceania
Africa,SLE,Sierra Leone,Others Africa
Latin America,SLV,El Salvador,El Salvador
Africa,SOM,Somalia,Others Africa
Western and Central Europe,SRB,Serbia,Serbia
Latin America,SUR,Suriname,Others Latin America and the Caribbean
Western and Central Europe,SVK,Slovakia,Slovak Republic
Western and Central Europe,SVN,Slovenia,Slovenia
Western and Central Europe,SWE,Sweden,Sweden
Africa,SWZ,Swaziland,Others Africa
Western Asia,SYR,Syria,Syria
Latin America,TCA,Turks and Caicos Isds,Others Latin America and the Caribbean
Africa,TCD,Chad,Others Africa
Africa,TGO,Togo,Togo
East Asia (excl. China),THA,Thailand,Thailand
Eastern Europe and Central Asia,TJK,Tajikistan,Tajikistan
Eastern Europe and Central Asia,TKM,Turkmenistan,Turkmenistan
East Asia (excl. China),TLS,Timor-Leste,Others East Asia
Latin America,TTO,Trinidad and Tobago,Trinidad and Tobago
Africa,TUN,Tunisia,Tunisia
Western Asia,TUR,Turkey,Turkey
Africa,TZA,United Rep. of Tanzania,Tanzania
Africa,UGA,Uganda,Others Africa
Eastern Europe and Central Asia,UKR,Ukraine,Ukraine
Latin America,URY,Uruguay,Uruguay
North America,USA,USA,U.S.A.
Eastern Europe and Central Asia,UZB,Uzbekistan,Uzbekistan
Latin America,VCT,Saint Vincent and the Grenadines,Others Latin America and the Caribbean
Latin America,VEN,Venezuela,Venezuela
East Asia (excl. China),VNM,Viet Nam,Viet Nam
Western Asia,YEM,Yemen,Others West Asia
Africa,ZAF,South Africa,South Africa
Africa,ZMB,Zambia,Zambia
Africa,ZWE,Zimbabwe,Zimbabwe
Africa,BWA,Botswana,Botswana
Africa,LSO,Lesotho,Lesotho
