"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",3826,1969,4033,1949,2602
"Business As Usual",3187,1291,3898,1776,2730
"Business As Usual",3908,1550,3492,1784,2497
"Business As Usual",4044,353,4294,1928,2780
"Business As Usual",3762,1282,5208,1426,2569
"Business As Usual",3649,1116,4568,1779,3256
"Business As Usual",4289,2017,4611,1763,3175
"Business As Usual",3870,1410,4193,1811,3080
"Business As Usual",4388,1094,4061,2122,2671
"Business As Usual",3346,861,4275,1755,2335
"Business As Usual",3921,2034,4241,1720,2731
"Business As Usual",3505,1226,3623,1688,1625
"Business As Usual",3614,615,4142,1780,2421
"Business As Usual",3669,1263,4304,1942,2385
"Business As Usual",2885,625,3998,1968,2808
"Business As Usual",4389,1294,4743,2977,2715
"Business As Usual",3683,1279,4153,2682,2217
"Business As Usual",3593,1097,3965,1770,2487
"Business As Usual",3751,2089,4387,1999,3003
"Business As Usual",3318,335,4206,1590,2395
"Business As Usual",3379,1051,4090,2479,2345
"Business As Usual",3815,1174,4496,2003,2921
"Business As Usual",3593,1097,4957,1749,2330
"Business As Usual",3096,1428,4370,2074,2512
"Business As Usual",4539,1962,5202,1875,2713
"Business As Usual",3684,1083,4675,1573,3106
"Business As Usual",3614,1939,4238,1911,2587
"Business As Usual",3500,342,3814,1870,2652
"Business As Usual",4091,1027,3778,1594,2326
"Business As Usual",3603,1354,4695,1598,2963
"Business As Usual",3713,2051,4130,1742,2349
"Business As Usual",2971,1556,4629,1088,2939
"Business As Usual",3748,666,4251,2543,2990
"Business As Usual",3506,1406,4434,1762,2919
"Business As Usual",3244,1268,4164,2276,2336
"Business As Usual",2572,1172,3022,1734,2324
"Business As Usual",3999,1192,3457,2142,2648
"Business As Usual",3970,1021,4156,1691,2013
"Business As Usual",3717,909,4223,2027,2800
"Business As Usual",4094,1404,3849,2111,2676
"Business As Usual",3459,1324,3583,1284,2390
"Business As Usual",3653,784,4310,1759,2547
"Business As Usual",4337,1351,5114,2012,3256
"Business As Usual",3508,898,4116,1970,3324
"Business As Usual",4333,1562,3470,2037,3730
"Business As Usual",3387,1294,4198,2582,2533
"Business As Usual",3984,2173,4198,2551,3653
"Business As Usual",3243,1188,4076,1770,3041
"Business As Usual",3455,860,4104,1694,2531
"Business As Usual",4504,1090,3686,1082,2875
"Business As Usual",4385,1286,3418,1674,2460
"Business As Usual",3629,1019,4110,1734,3066
"Business As Usual",3653,623,3467,1907,2637
"Business As Usual",4270,1073,3907,2212,2296
"Business As Usual",3583,1024,3718,1802,2473
"Business As Usual",4602,1349,5097,1768,2557
"Business As Usual",3339,1109,3951,2197,2208
"Business As Usual",3436,1090,4898,1954,2961
"Business As Usual",3623,1117,4395,2250,2495
"Business As Usual",3597,1361,4145,1323,3366
"Business As Usual",4550,1466,3797,1750,2212
"Business As Usual",3865,1375,4231,1802,2372
"Business As Usual",3846,1332,5040,2005,2859
"Business As Usual",3758,443,4218,1536,2686
"Business As Usual",3203,1837,4373,1715,3279
"Business As Usual",4174,1444,4491,2097,3404
"Business As Usual",4334,1376,4349,1739,2706
"Business As Usual",3440,1441,4310,2121,3081
"Business As Usual",3871,1408,4338,1456,2614
"Business As Usual",3122,1454,4327,1734,2598
"Business As Usual",3892,1087,4171,1306,2574
"Business As Usual",3848,1452,4369,1103,2363
"Business As Usual",3865,1369,4535,2312,2581
"Business As Usual",3833,1604,4354,2145,3298
"Business As Usual",3525,1129,3868,2002,2435
"Business As Usual",3959,1290,4312,1964,2586
"Business As Usual",3681,1278,4915,1806,2814
"Business As Usual",3667,1054,3378,1266,2825
"Business As Usual",4524,2153,4517,1895,2043
"Business As Usual",3228,869,3934,1696,2336
"Business As Usual",3400,1445,4650,2649,2718
"Business As Usual",3573,1304,3931,1371,3393
"Business As Usual",3994,282,5365,2002,3707
"Business As Usual",3876,1168,4680,1097,2610
"Business As Usual",3851,679,4364,1935,2912
"Business As Usual",3536,1314,4257,1940,2693
"Business As Usual",3891,446,4099,1994,2511
"Business As Usual",4655,1860,4118,1645,2716
"Business As Usual",3781,1259,4310,1739,2664
"Business As Usual",3997,1199,5348,1966,3208
"Business As Usual",3518,1183,4532,1837,2792
"Business As Usual",4761,1050,4335,2034,2792
"Business As Usual",3854,748,4254,1918,2717
"Business As Usual",3601,1159,3960,1792,2586
"Business As Usual",2629,1017,3867,1505,3132
"Business As Usual",3388,345,4072,1915,3407
"Business As Usual",3984,1242,3867,1831,1562
"Business As Usual",3728,1855,4241,2090,3202
"Business As Usual",3424,1290,4872,1547,3395
"Business As Usual",3970,1303,4225,1463,3026
"Business As Usual",3327,1261,4013,1198,3147
"Business As Usual",3357,614,4174,1573,2807
"Business As Usual",2780,1333,5091,2026,2703
"Business As Usual",3509,745,3647,1912,2125
"Business As Usual",3559,1179,4007,1729,1653
"Business As Usual",3625,1010,4202,1825,2275
"Business As Usual",3481,947,4171,1918,2375
"Business As Usual",3441,731,3576,1922,2695
"Business As Usual",4058,1040,4196,1068,2289
"Business As Usual",3421,1225,3672,1824,2226
"Business As Usual",3471,1142,4201,1070,2706
"Business As Usual",4154,271,4853,1756,2676
"Business As Usual",3541,1451,4194,1161,2637
"Business As Usual",4300,250,3775,2562,2196
"Business As Usual",3664,1169,4165,2044,2715
"Business As Usual",3563,1099,4751,2051,2653
"Business As Usual",3079,1438,3535,1976,2484
"Business As Usual",3704,752,3836,1725,3168
"Business As Usual",3425,1130,4328,1976,2870
"Business As Usual",3493,1356,4369,1619,3010
"Business As Usual",2896,1464,4100,2264,2527
"Business As Usual",2989,844,3806,1843,2142
"Business As Usual",3463,1219,4022,1592,1990
"Business As Usual",2826,1136,3916,1232,2750
"Business As Usual",3685,1134,4157,2383,2799
"Business As Usual",3586,1359,3951,1879,2045
"Business As Usual",3780,1285,3810,1807,2796
"Business As Usual",3764,1212,4276,2698,3574
"Business As Usual",3537,1434,4172,1760,2846
"Business As Usual",4242,1214,3609,1906,2289
"Business As Usual",4496,980,3900,1696,2411
"Business As Usual",4171,963,3994,2261,2427
"Business As Usual",2767,352,3952,1696,2405
"Business As Usual",3408,1062,3318,2219,2476
"Business As Usual",3485,459,4213,2000,2553
"Business As Usual",3723,1734,4498,2170,2123
"Business As Usual",3870,1285,4110,1695,1742
"Business As Usual",3811,1113,3878,1404,2400
"Business As Usual",3906,1809,4404,1619,3093
"Business As Usual",2994,1358,4122,2133,2914
"Business As Usual",2747,1083,4029,1905,2823
"Business As Usual",3681,2242,4374,1324,3007
"Business As Usual",3891,1747,4756,2838,2753
"Business As Usual",3685,1478,4176,2129,2536
"Business As Usual",3724,631,4229,1697,2674
"Business As Usual",3672,994,4376,2611,2390
"Business As Usual",4515,1410,4559,1840,2897
"Business As Usual",3962,1094,4383,2270,2583
"Business As Usual",3857,1561,4645,1818,2218
"Business As Usual",3943,1464,4640,2479,2510
"Business As Usual",3869,1028,4745,2323,2427
"Business As Usual",3612,1012,4782,1499,2226
"Business As Usual",3834,358,4147,2409,3041
"Business As Usual",3210,1287,3927,1645,2704
"Business As Usual",3119,1021,3630,1673,3281
"Business As Usual",3871,1357,4396,2754,3530
"Business As Usual",3039,1291,5082,2604,2651
"Business As Usual",3777,1106,3451,2183,2067
"Business As Usual",4031,1060,4170,1722,3164
"Business As Usual",3850,1078,4693,1889,2801
"Business As Usual",3609,1349,3955,1935,2778
"Business As Usual",4003,1302,3966,1330,2580
"Business As Usual",3879,1130,5407,2067,2667
"Business As Usual",3399,1144,4314,986,2424
"Business As Usual",3862,351,4090,976,2820
"Business As Usual",3168,927,4515,2027,2799
"Business As Usual",4141,1097,4620,1967,2719
"Business As Usual",3555,1549,4856,1939,2831
"Business As Usual",3398,875,3856,1666,2596
"Business As Usual",3818,1512,4752,1786,2594
"Business As Usual",4060,1050,4304,2036,2519
"Business As Usual",3495,1003,4179,883,2439
"Business As Usual",4001,1105,4963,1891,2850
"Business As Usual",3461,408,3877,1558,2486
"Business As Usual",4062,1847,4321,2043,2571
"Business As Usual",2822,1060,3415,2217,1819
"Business As Usual",3667,1002,3800,1566,2346
"Business As Usual",3640,1481,3631,2186,2825
"Business As Usual",3697,449,4050,1625,1855
"Business As Usual",3808,1884,5015,1865,2673
"Business As Usual",3828,1189,4042,1801,2388
"Business As Usual",4050,2313,3844,3001,2195
"Business As Usual",3969,2004,4126,2251,2552
"Business As Usual",3479,1166,3798,1625,2400
"Business As Usual",3702,995,4119,2530,2641
"Business As Usual",3301,1291,4518,1982,2065
"Business As Usual",3953,669,4015,1805,1732
"Business As Usual",3737,1260,4140,1900,1705
"Business As Usual",3973,1530,4452,2106,2174
"Business As Usual",3607,1519,4234,1733,2510
"Business As Usual",3331,960,4080,2559,2380
"Business As Usual",4107,696,4699,2126,2950
"Business As Usual",3852,688,4204,2844,2215
"Business As Usual",3451,1718,3809,1502,2533
"Business As Usual",4059,682,4514,958,2746
"Business As Usual",3525,1330,4826,2007,2296
"Business As Usual",4240,1566,4323,1806,3050
"Business As Usual",3723,1305,4116,1906,2680
"Business As Usual",3626,907,4102,1659,2484
"Business As Usual",3438,1465,4152,1909,2648
"Business As Usual",3507,253,4819,1236,2603
"Business As Usual",3739,1283,4238,1926,2748
"Business As Usual",3543,1073,4580,1641,2522
"Business As Usual",4578,1092,4323,1440,2815
"Business As Usual",3690,1421,4165,1723,2820
"Business As Usual",4159,1438,4274,1731,2877
"Business As Usual",3506,1248,4811,1776,3515
"Business As Usual",3187,1048,3450,1552,2839
"Business As Usual",3599,1092,3605,1971,2572
"Business As Usual",3810,1504,3898,2052,2412
"Business As Usual",3925,1369,4447,2892,2582
"Business As Usual",2630,1011,3732,1762,2470
"Business As Usual",3452,1054,4940,1784,3442
"Business As Usual",3552,1502,3780,1983,2582
"Business As Usual",4368,1228,4546,1806,2601
"Business As Usual",3525,1148,4017,2047,2221
"Business As Usual",4125,1450,4381,1695,2623
"Business As Usual",3653,903,4398,1613,2027
"Business As Usual",3928,1203,4411,2043,2801
"Business As Usual",3826,1065,4012,1734,2467
"Business As Usual",4203,1313,3811,2053,3148
"Business As Usual",4296,1952,4053,2560,3282
"Business As Usual",3879,1501,5135,2533,2831
"Business As Usual",3893,1194,3794,2567,3011
"Business As Usual",3763,1396,4580,2549,2441
"Business As Usual",4586,1106,4303,1721,2884
"Business As Usual",2962,768,4806,1980,2644
"Business As Usual",3408,1205,4128,1949,3655
"Business As Usual",4779,1438,5172,1815,2746
"Business As Usual",4100,1604,4452,2137,2233
"Business As Usual",3554,909,3504,1245,2665
"Business As Usual",3875,924,4676,1839,2880
"Business As Usual",3409,1126,4225,2055,2566
"Business As Usual",3770,477,4480,2092,2890
"Business As Usual",3330,1467,4242,1528,3139
"Business As Usual",2843,1365,4128,1972,2479
"Business As Usual",3964,1169,4734,2360,1879
"Business As Usual",3993,2268,5269,2942,2786
"Business As Usual",3848,359,4324,1957,2607
"Business As Usual",3256,1284,4539,1884,2970
"Business As Usual",3699,464,3937,1771,2332
"Business As Usual",3617,1376,3803,1788,2632
"Business As Usual",3919,1333,4283,1835,2623
"Business As Usual",3692,1136,4630,1804,2956
"Business As Usual",3675,1169,3744,1671,2502
"Business As Usual",3773,1183,4643,1862,2888
"Business As Usual",3859,1350,4366,1517,3530
"Business As Usual",3142,979,3825,1005,2517
"Business As Usual",3389,1007,4164,1892,2579
"Business As Usual",3632,1158,4112,1683,2622
"Business As Usual",3576,1073,4096,2175,2789
"Business As Usual",4193,1105,4314,1303,2835
"Business As Usual",4535,1298,4123,1589,2698
"Business As Usual",3868,1405,4625,1660,3114
"Business As Usual",3553,1343,4810,2182,2768
"Business As Usual",4515,1065,4003,2123,2490
"Business As Usual",3585,1101,4228,1981,2990
"Business As Usual",3569,1447,3248,1851,2755
"Business As Usual",3830,2077,3614,1861,2411
"Business As Usual",3911,1521,4016,1567,2544
"Business As Usual",3185,1285,4380,1944,1825
"Business As Usual",3410,1504,3842,1550,2408
"Business As Usual",3761,1340,3983,1687,2648
"Business As Usual",3678,1102,3313,1957,2818
"Business As Usual",2870,1162,4677,1948,2549
"Business As Usual",3849,2131,5286,1447,2607
"Business As Usual",3834,2080,4434,1984,2182
"Business As Usual",3913,1365,4192,1719,2810
"Business As Usual",3772,2142,4275,1858,2146
"Business As Usual",3702,1341,3949,1977,3166
"Business As Usual",3223,1029,4480,2717,2392
"Business As Usual",3522,1701,4047,1627,3035
"Business As Usual",3324,1239,3706,842,2416
"Business As Usual",4553,1048,4325,1495,2597
"Business As Usual",3794,1570,4448,2719,3320
"Business As Usual",3600,851,3232,1747,2607
"Business As Usual",3222,1009,3827,1768,2203
"Business As Usual",3865,643,5190,1996,2770
"Business As Usual",3764,1273,3519,2503,2609
"Business As Usual",4517,703,4506,1897,2965
"Business As Usual",3582,1265,4865,1762,2627
"Business As Usual",3291,358,3906,1694,2295
"Business As Usual",3973,1281,4742,2026,2810
"Business As Usual",3914,1296,4434,1324,2699
"Business As Usual",3565,1655,4371,1985,2488
"Business As Usual",3342,1082,4249,1533,2761
"Business As Usual",3839,1807,4187,1974,2184
"Business As Usual",4503,1276,4094,1941,2157
"Business As Usual",3431,894,3268,1224,2656
"Business As Usual",3287,1058,4151,2020,2891
"Business As Usual",3773,1183,3561,2402,2022
"Business As Usual",3819,1927,4357,2618,3305
"Business As Usual",3527,1353,4016,1767,3448
"Business As Usual",4003,1102,4299,1825,1861
"Business As Usual",2736,1089,4006,1310,3335
"Business As Usual",3815,1175,3659,2279,2357
"Business As Usual",3606,1137,5101,1741,2777
"Business As Usual",3633,1058,4077,1799,2759
"Business As Usual",3635,1144,4239,1874,2478
"Business As Usual",3995,1156,3930,1735,2720
"Business As Usual",3601,1408,3943,1866,2211
"Business As Usual",4119,1567,4443,1767,2525
"Business As Usual",4103,1259,4340,2896,2564
"Business As Usual",3636,1116,3149,1849,1677
"Business As Usual",3818,1182,5647,1994,2848
"Business As Usual",4275,1079,4304,2273,2895
"Business As Usual",3992,1031,4256,1996,2507
"Business As Usual",4408,1107,3956,1797,2379
"Business As Usual",3773,1276,4078,918,2883
"Business As Usual",3456,1492,4564,2398,3310
"Business As Usual",4004,2169,4766,2045,2772
"Business As Usual",4142,1391,4730,1062,1963
"Business As Usual",4040,1531,4186,2338,2549
"Business As Usual",3505,1064,4121,2022,1726
"Business As Usual",3481,825,3941,1659,1805
"Business As Usual",3908,2204,4348,1313,2366
"Business As Usual",3165,1160,4111,2667,2207
"Business As Usual",3919,1172,3529,1705,3177
"Business As Usual",3829,1749,4428,1930,2604
"Business As Usual",3645,366,3264,1996,2537
"Business As Usual",3567,1308,4375,1501,2417
"Business As Usual",4100,391,3682,1380,2707
"Business As Usual",3871,1086,4358,1580,2083
"Business As Usual",3604,1354,4186,1767,2555
"Business As Usual",4416,1651,4708,1981,3170
"Business As Usual",3862,2003,4347,1763,2805
"Business As Usual",3893,1285,5076,2004,2539
"Business As Usual",3691,1417,3976,1472,3033
"Business As Usual",3534,1313,4818,1927,3201
"Business As Usual",3424,1097,4258,1692,2473
"Business As Usual",3753,875,4136,1507,2513
"Business As Usual",3668,1069,4047,1636,2937
"Business As Usual",3735,1016,4069,2108,2725
"Business As Usual",3632,1002,4679,2000,2953
"Business As Usual",3121,1441,4287,1712,2653
"Business As Usual",3956,1829,4278,2485,1894
"Business As Usual",2956,1314,4248,1869,2946
"Business As Usual",2911,1486,4268,1617,2040
"Business As Usual",3578,1719,4297,1624,1914
"Business As Usual",3630,1013,4150,2362,3272
"Business As Usual",3879,887,4262,1782,2758
"Business As Usual",3719,671,4461,2221,1837
"Business As Usual",3638,1350,3653,2664,2950
"Business As Usual",2762,990,4315,1832,3495
"Business As Usual",2816,371,4332,2500,2593
"Business As Usual",4559,1421,4458,1835,2854
"Business As Usual",3171,233,3421,887,2415
"Business As Usual",4022,1767,4461,2203,3587
"Business As Usual",3966,1037,4497,1938,2552
"Business As Usual",3961,1930,4211,1847,2913
"Business As Usual",3815,1317,4168,1985,2762
"Business As Usual",3581,1065,4752,1007,2172
"Business As Usual",4156,2104,4013,1918,1997
"Business As Usual",3163,947,4094,2001,1885
"Business As Usual",3450,609,3738,1347,2247
"Business As Usual",3606,1283,4653,1642,2866
"Business As Usual",3705,879,4370,2027,2819
"Business As Usual",3645,1433,4288,2689,3283
"Business As Usual",3860,1044,4084,1998,2808
"Business As Usual",3877,1220,3903,2400,3156
"Business As Usual",4048,1311,4755,2096,1777
"Business As Usual",2993,1381,3686,1180,1544
"Business As Usual",3625,1191,4212,1066,2705
"Business As Usual",4508,1063,4367,1835,2417
"Business As Usual",4211,1469,4284,2219,2741
"Business As Usual",3718,1141,4064,1689,1620
"Business As Usual",3781,1325,3775,2057,2872
"Business As Usual",3910,621,4081,1251,2467
"Business As Usual",3005,1517,4924,1674,2655
"Business As Usual",4562,1209,4584,2036,2780
"Business As Usual",3743,370,4118,1863,2787
"Business As Usual",3133,1147,4573,2224,1892
"Business As Usual",3894,1407,3863,2653,2210
"Business As Usual",3298,1825,3787,1795,2821
"Business As Usual",3641,1016,3770,1562,2621
"Business As Usual",3453,1191,4613,1845,2660
"Business As Usual",3544,1103,3998,2686,2618
"Business As Usual",4149,1090,4162,1907,2433
"Business As Usual",3262,1270,3745,1502,2487
"Business As Usual",3875,772,4245,1109,2085
"Business As Usual",4172,1332,5299,2063,3126
"Business As Usual",3814,906,4608,1681,2637
"Business As Usual",3512,1059,4247,1615,2706
"Business As Usual",3680,1322,3868,1911,2679
"Business As Usual",4019,651,4164,2010,3063
"Business As Usual",4779,960,5083,1793,3574
"Business As Usual",3774,629,3995,1266,2711
"Business As Usual",3502,1260,4020,1854,2987
"Business As Usual",4019,1446,4433,1775,2523
"Business As Usual",3736,1520,4820,1868,2548
"Business As Usual",3706,1243,4451,1315,2660
"Business As Usual",2931,1220,4359,1960,2054
"Business As Usual",3894,1333,4179,1577,2758
"Business As Usual",3378,1060,4232,2287,2707
"Business As Usual",4040,2099,4357,1849,2890
"Business As Usual",3093,1203,3647,2198,3236
"Business As Usual",3391,978,3818,1551,2538
"Business As Usual",3124,1072,4321,2804,2734
"Business As Usual",3818,1122,3389,1025,2694
"Business As Usual",3464,1220,3928,1974,1986
"Business As Usual",2905,1323,4281,996,1840
"Business As Usual",3888,1420,4512,2215,3096
"Business As Usual",3236,1474,4485,1206,2843
"Business As Usual",3547,1077,3767,1833,2857
"Business As Usual",3138,1426,3717,855,2567
"Business As Usual",3997,1226,4767,1745,3404
"Business As Usual",2771,1202,4105,1829,2830
"Business As Usual",3907,1285,4940,1844,2350
"Business As Usual",4890,1127,4161,2271,2780
"Business As Usual",3765,1007,3934,2042,2339
"Business As Usual",3756,997,4099,1963,2517
"Business As Usual",3824,1252,4446,1828,2620
"Business As Usual",2781,1690,4346,1918,2801
"Business As Usual",3834,2043,3907,1722,2472
"Business As Usual",3903,2217,4284,2687,3060
"Business As Usual",3808,914,4267,1403,2479
"Business As Usual",3296,1134,4395,862,2623
"Business As Usual",3971,1023,4165,2516,3497
"Business As Usual",2538,1036,3600,1181,2318
"Business As Usual",3376,1341,3902,1080,1836
"Business As Usual",2629,1718,3889,1773,2646
"Business As Usual",3638,1058,3911,1532,2503
"Business As Usual",3988,969,4943,1740,3105
"Business As Usual",3496,1307,4666,2274,2543
"Business As Usual",4531,385,5447,1068,3269
"Business As Usual",4451,1384,4198,2730,2827
"Business As Usual",3796,1302,4232,1724,2474
"Business As Usual",3505,1321,4181,1533,2327
"Business As Usual",3640,1420,4100,1839,2087
"Business As Usual",3614,721,3852,2487,2141
"Business As Usual",3026,1170,4199,2127,2402
"Business As Usual",3503,1262,3791,1745,2375
"Business As Usual",3391,911,4224,1932,2268
"Business As Usual",4004,1332,4640,1281,2928
"Business As Usual",2592,1575,4039,1759,3280
"Business As Usual",3873,1289,4790,1528,2319
"Business As Usual",3675,1242,4374,1751,1660
"Business As Usual",3659,1123,3076,1880,2403
"Business As Usual",3730,666,3580,2048,3646
"Business As Usual",3402,1368,3865,1773,2352
"Business As Usual",3483,1295,4994,979,3120
"Business As Usual",3591,1285,3611,860,2311
"Business As Usual",2865,1412,4174,2091,2557
"Business As Usual",4324,1929,4844,1887,3080
"Business As Usual",3571,1194,3806,1970,1855
"Business As Usual",5015,1085,5544,2988,3018
"Business As Usual",3407,1283,4216,1265,2798
"Business As Usual",3482,1791,4053,2010,2598
"Business As Usual",3504,1341,4799,1649,2073
"Business As Usual",4091,1153,4282,2194,2727
"Business As Usual",3494,1269,4077,1488,3411
"Business As Usual",2979,1090,4100,1851,3531
"Business As Usual",3709,1281,3925,1920,2415
"Business As Usual",3949,1602,5228,1837,2924
"Business As Usual",2730,1170,3569,2025,2429
"Business As Usual",3506,1185,4763,2659,2376
"Business As Usual",3327,1331,3339,2057,2688
"Business As Usual",3853,988,4285,1749,2625
"Business As Usual",3875,1261,4506,2188,1810
"Business As Usual",3735,1309,3599,1577,2738
"Business As Usual",3565,265,4209,2445,2637
"Business As Usual",4617,1349,4144,1905,2948
"Business As Usual",4583,1260,4056,2730,2745
"Business As Usual",3723,1265,3785,1838,2461
"Business As Usual",3363,1914,4468,2263,3272
"Business As Usual",3979,1134,4224,941,2600
"Business As Usual",4359,1957,4710,2033,2704
"Business As Usual",3421,606,3881,2022,2674
"Business As Usual",4499,1118,4222,1890,2803
"Business As Usual",3341,1336,4247,1727,3150
"Business As Usual",3805,1361,4277,2035,3377
"Business As Usual",3572,1064,4254,1806,2037
"Business As Usual",4061,457,4340,1661,2520
"Business As Usual",3822,464,4165,2208,2713
"Business As Usual",3027,464,4781,1038,3085
"Business As Usual",3404,896,4045,2696,2627
"Business As Usual",4759,1397,4976,1143,2894
"Business As Usual",2841,1276,4164,1941,2832
"Business As Usual",3672,1489,4289,1968,2721
"Business As Usual",3316,1443,4565,2076,3035
"Business As Usual",3627,1078,3734,1939,2550
"Business As Usual",4114,1348,4391,1850,2775
"Business As Usual",3041,1350,4345,2109,2765
"Business As Usual",3606,1052,3413,1969,2826
"Business As Usual",3131,1670,3899,1709,2325
"Stratified Societies",4419,1628,4345,1822,2874
"Stratified Societies",3178,1466,4074,1673,2796
"Stratified Societies",3113,1328,4051,1903,2052
"Stratified Societies",4102,389,4449,2017,2839
"Stratified Societies",4019,1539,4712,2159,2730
"Stratified Societies",4229,1384,4940,1785,2581
"Stratified Societies",3770,1124,4421,2022,2796
"Stratified Societies",3737,1444,4334,2221,2912
"Stratified Societies",3982,1502,4597,2133,3034
"Stratified Societies",4113,1411,3656,1869,2687
"Stratified Societies",3456,677,4697,1929,2745
"Stratified Societies",4178,1506,4156,1298,2923
"Stratified Societies",3437,1223,4348,1595,2673
"Stratified Societies",3606,1195,4011,1658,2290
"Stratified Societies",4065,1151,4487,1383,3053
"Stratified Societies",3825,690,4338,1377,2807
"Stratified Societies",3985,1296,3659,2145,2913
"Stratified Societies",3851,1686,4098,917,3019
"Stratified Societies",3540,1114,3885,2862,2826
"Stratified Societies",3343,681,4284,2232,2774
"Stratified Societies",3830,1037,4179,1725,2751
"Stratified Societies",3416,1373,4509,1481,2447
"Stratified Societies",3901,1105,3430,1746,2821
"Stratified Societies",3339,1076,3251,2035,2664
"Stratified Societies",4003,1362,4444,1998,2446
"Stratified Societies",4593,1132,3703,2067,2603
"Stratified Societies",4467,1774,5026,2045,1987
"Stratified Societies",3004,1077,4725,993,3503
"Stratified Societies",3831,910,3329,1675,2671
"Stratified Societies",4000,1365,4342,2012,2522
