"Year","Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
2007,"Argentina",NA,14662945,1080070,21755364,4857991,47482784,0,4385530,548932,23960000,2465000,8223089,3222761
2007,"Australia",NA,10821628,162806,239879,6547598,25907,0,672694,689200,36396997,1261119,3384707,1990903
2007,"Austria","EU-28",1399341,0,1994698,1372001,52902,0,221199,2518,2656214,668755,1176495,549556
2007,"Bangladesh",NA,737000,43181000,902150,21150,57720,0,623147,887594,5769945,5471090,3589540,3197010
2007,"Belarus",NA,1396553,0,541066,5092290,0,0,274582,38828,3626154,8743976,427661,2160066
2007,"Belgium","EU-28",1577342,0,698899,442492,0,0,50526,14170,5746892,3189817,698232,1916268
2007,"Brazil",NA,4114057,11060741,52112217,2154619,57857172,1073727,3381794,4483109,549707314,30871241,39283185,9888485
2007,"Bulgaria","EU-28",2390610,30576,980055,468972,68,0,662673,938,16281,298722,496709,552856
2007,"Canada",NA,20090400,0,11648700,16266200,2686200,0,10494235,38600,762000,4999182,788300,2184496
2007,"Chile",NA,1095872,110268,1122648,526457,0,0,85234,19895,1634437,843723,5452770,2186000
2007,"China",NA,109298000,186034000,152300000,8689100,12725000,665000,28361894,23614067,121881700,145339500,103729305,472786800
2007,"Croatia","EU-28",812347,0,1424599,299240,90637,0,131695,0,1582606,296302,344451,905770
2007,"Cyprus","EU-28",10712,0,0,52821,0,0,14616,0,0,157784,193658,132024
2007,"Czechia","EU-28",3938924,0,758781,2459661,13175,0,1132351,1868,2889871,820515,277184,198479
2007,"Denmark","EU-28",4519200,0,0,3701000,0,0,588665,0,2255300,1625580,68070,253361
2007,"Egypt",NA,7379000,6876830,6243220,1100184,25607,0,822923,631316,22472482,3266022,9397654,18994783
2007,"Estonia","EU-28",345726,0,0,533749,0,0,133499,0,0,195200,6625,71573
2007,"Finland","EU-28",796800,0,0,3338500,0,0,113500,0,673100,701600,15744,245941
2007,"France","EU-28",32763446,97316,14505519,12212497,84603,0,6141177,462968,33229782,7225260,8973737,5528764
2007,"Germany","EU-28",20828077,0,3809320,15994752,1000,0,5386010,0,25139137,11643769,2918600,3384856
2007,"Greece","EU-28",1629072,195340,2384811,402848,12,0,2340406,1040205,854141,954017,3106059,3854024
2007,"Hungary","EU-28",3986708,9916,4026734,1629541,53982,0,1560467,500,1692800,563100,1326759,1748274
2007,"India",NA,75806704,144570000,18955400,21153800,10968000,0,31305300,15763080,355519712,37899100,62713466,88531657
2007,"Indonesia",NA,0,57157436,13287527,0,592634,7.8e+07,21010447,195786,25200000,23258640,16099330,8530116
2007,"Iran",NA,15886609,2664237,2361299,3165426,178819,0,546989,312967,10722061,4026412,15213333,17851308
2007,"Ireland","EU-28",713400,0,0,1293062,0,0,31900,0,45000,399000,28442,223001
2007,"Italy","EU-28",7170181,1540087,9809266,1831084,408491,0,3605521,2700,4670302,1789629,17312830,14711183
2007,"Japan",NA,910100,10893000,155,221593,226700,0,19809,1,5797000,4263200,3437653,11838900
2007,"Latvia","EU-28",807300,0,0,727900,0,0,198900,1100,267488,642100,39867,155956
2007,"Lithuania","EU-28",1390700,0,26000,1600300,0,0,312700,400,799900,576100,57110,204622
2007,"Luxembourg","EU-28",70469,0,2120,75762,0,0,18302,0,0,19968,22483,1068
2007,"Malaysia",NA,0,2375000,32075,0,0,79014140,690340,8351,520000,74798,905109,773303
2007,"Malta","EU-28",12000,0,0,2200,0,0,6,0,0,14146,8212,83555
2007,"Mexico",NA,3515392,294697,23512752,6990348,88371,292499,1419474,415551,52090025,1981556,15857021,12124110
2007,"Morocco",NA,1582630,33150,94860,794382,1000,0,745433,1878,3417850,1445976,2753157,5224426
2007,"Netherlands","EU-28",1018000,0,230600,299000,0,0,14880,15200,5511500,6870400,707765,4369953
2007,"New Zealand",NA,344434,0,185627,396867,0,0,3938,3183,0,495200,1143286,993306
2007,"Pakistan",NA,23294600,8345100,3604700,567800,32,0,1163151,5677917,54825200,3059912,5636530,5432694
2007,"Philippines",NA,0,16240194,6736940,170,676,414162,14895086,73404,22235297,2722843,17610993,5794011
2007,"Poland","EU-28",8317265,0,1722297,17103249,525,0,2170553,565,12681555,11791072,1704068,5894986
2007,"Portugal","EU-28",102258,156203,616917,190659,0,0,248799,0,256673,650140,1598696,2558589
2007,"Rest of Africa",NA,8007306,14090541,34953952,48941154,1179508,16733570,15542075,3580996,53614064,208079838,60931332,39060027
2007,"Rest of East Asia",NA,467507,49646906,4200199,822687,801334,160000,3331442,361095,11069303,7258170,9677507,22871961
2007,"Rest of Eastern Europe and Central Asia",NA,20948892,396033,2787691,4030582,125881,0,712273,2006464,1480026,6747466,3791908,9198099
2007,"Rest of Latin America",NA,1809044,11618581,13983705,2236326,8624465,9280825,2282396,683637,141089637,21885586,42572067,14281963
2007,"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,1,44
2007,"Rest of Oceania",NA,0,18570,14975,4486,0,1570000,2979290,419,2836060,2066600,2159314,614249
2007,"Rest of South Asia",NA,1524018,6886271,1961176,349435,27174,0,2480316,17204,3395599,2516737,1906608,3131563
2007,"Rest of Western and Central Europe",NA,3534275,15355,5053157,1845306,315434,0,460769,900,4827243,2313028,3306492,3721030
2007,"Rest of Western Asia",NA,13841824,945000,1296599,3062908,2084,0,1017845,846263,1509340,3560908,10013112,16470082
2007,"Romania","EU-28",3044465,27518,3853918,888924,136094,0,911912,3072,748839,3712410,1945086,3118449
2007,"Russia",NA,49367973,704544,3798020,26336976,650180,0,6394082,100307,28836189,27195248,4357901,12368283
2007,"Slovakia","EU-28",1379643,0,623907,789935,11030,0,458076,40,846500,287667,133311,307367
2007,"Slovenia","EU-28",133339,0,308259,93721,348,0,16656,0,0,148262,262436,63825
2007,"South Africa",NA,1905000,3300,7125000,474563,205000,0,414629,34099,19723916,1968020,6012312,2161693
2007,"Spain","EU-28",6436359,723426,3610937,13768237,920,0,6920507,127187,4910480,2511847,15131810,13079662
2007,"Sweden","EU-28",2255700,0,0,2801900,0,0,229100,0,2137700,789000,35900,289500
2007,"Thailand",NA,1014,32477032,3890218,298398,203660,6389983,1852119,122203,64365482,27340121,11790455,4112962
2007,"Turkey",NA,17234000,648000,3535000,7833013,30666,0,2076740,2275044,12414715,4246273,12338308,25617376
2007,"UK","EU-28",13220620,0,0,5902896,0,0,2125544,17500,6733000,5635000,406863,2382717
2007,"Ukraine",NA,13937700,108000,7421100,7478458,722600,0,5258147,4800,16977700,19102000,1754050,7363600
2007,"USA",NA,55820360,8998730,331177280,19134490,72859180,0,4028788,10158983,59662600,21000643,25046324,39367078
2007,"Uzbekistan",NA,6190300,197800,207400,158200,0,0,31509,3736000,0,1188900,2149400,5533100
2007,"Vietnam",NA,0,35942700,4303200,1614,275500,0,1571900,140600,17396700,10002400,6174000,8214037
2008,"Argentina",NA,16486532,1245800,22016926,4982478,46238088,0,5527638,497255,26960000,2401916,8118855,3244000
2008,"Australia",NA,13569378,17614,387000,12892222,34700,0,1387173,320600,32621113,1447602,3354679,1922484
2008,"Austria","EU-28",1689688,0,2448538,1618238,54095,0,265960,1901,3091432,756945,1199340,575271
2008,"Bangladesh",NA,844000,46742000,1346470,14330,59158,0,643490,888201,4983656,6955221,3557516,3472539
2008,"Belarus",NA,2045237,0,494653,6188571,0,0,555427,60894,4030380,8748630,608681,2302991
2008,"Belgium","EU-28",1850406,0,858837,404027,0,0,42028,12170,4713904,2943205,552719,1910700
2008,"Brazil",NA,6027131,12061465,58933347,2723523,59833104,1091104,3891002,4343630,645300182,31174795,38879931,10072105
2008,"Bulgaria","EU-28",4632210,38645,1368347,976380,179,0,1536412,769,0,353060,473042,520636
2008,"Canada",NA,28619200,0,10592000,16819200,3335900,0,13773701,27500,344700,4707273,775827,1997122
2008,"Chile",NA,1237691,121400,1365408,577831,0,0,115322,19735,1208496,976054,5551462,2136403
2008,"China",NA,112464000,191895700,165914000,8273200,15541600,668000,32289178,23113829,134196200,152820500,111308623,498800055
2008,"Croatia","EU-28",858333,0,2504940,363477,107558,0,222189,0,1269536,255554,331384,1314240
2008,"Cyprus","EU-28",2472,0,0,3869,0,0,15843,0,0,117171,178637,112246
2008,"Czechia","EU-28",4631502,0,858407,2884095,9419,0,1184668,539,2884645,769561,308470,198833
2008,"Denmark","EU-28",5018700,0,0,4086800,0,0,629391,0,2187213,1693000,69509,266864
2008,"Egypt",NA,7977051,7253373,7401412,1111186,29169,0,759150,329161,21602810,3982004,9619982,19707437
2008,"Estonia","EU-28",342500,0,0,521300,0,0,111341,0,0,125638,5486,64499
2008,"Finland","EU-28",787500,0,0,3441600,0,0,88900,0,468000,684400,17393,235956
2008,"France","EU-28",39006372,111523,16037988,15262150,63106,0,6445794,544252,30321172,6853348,8688619,5596621
2008,"Germany","EU-28",25988564,0,5105861,19010433,1000,0,5215896,0,23002600,11369000,2767025,3476701
2008,"Greece","EU-28",2074608,185296,2820227,487095,5,0,2321970,897621,828025,916463,3195231,3897805
2008,"Hungary","EU-28",5630833,9985,8897138,2302694,74000,0,2141945,500,573160,683935,1422383,1812980
2008,"India",NA,78570200,148036000,19731400,20497700,9905400,0,26624800,13746200,348187904,44808000,68580031,92212907
2008,"Indonesia",NA,0,60251072,16323922,0,776491,8.5e+07,19292865,185590,25600000,24893488,17345174,9026991
2008,"Iran",NA,6999977,2070003,1560992,1579810,180600,0,338157,295684,5536337,4733002,11690471,14703570
2008,"Ireland","EU-28",992800,0,0,1471193,0,0,20300,0,80000,344900,29687,218209
2008,"Italy","EU-28",8855440,1388900,9491203,1877831,346245,0,3858783,2800,3520855,1611986,17264822,14520062
2008,"Japan",NA,881200,11028750,160,240981,261700,0,20410,1,5846000,4178200,3416159,11888671
2008,"Latvia","EU-28",989600,0,0,699800,0,0,200500,200,0,673400,33533,142600
2008,"Lithuania","EU-28",1722500,0,32000,1667400,0,0,330900,100,339100,716400,92640,231804
2008,"Luxembourg","EU-28",97760,0,2276,90686,0,0,16493,0,0,21756,21047,1085
2008,"Malaysia",NA,0,2353000,32959,0,0,87749840,719251,8290,5e+05,59937,967736,859564
2008,"Malta","EU-28",14500,0,0,2000,0,0,6,0,0,19000,10886,84993
2008,"Mexico",NA,4019400,224371,24320100,7545273,153022,307757,1480578,411734,51091408,1923486,16162507,12435513
2008,"Morocco",NA,3769450,44520,120950,1395370,1000,0,841464,1850,3838300,1547569,2713626,5300688
2008,"Netherlands","EU-28",1366162,0,252300,344548,0,0,12672,15331,5218500,6922700,604419,4620776
2008,"New Zealand",NA,343350,0,205557,450380,0,0,3940,3195,0,518200,1258308,961603
2008,"Pakistan",NA,20958800,10428000,3593000,548300,29,0,1385348,5770933,63984095,3017923,6488127,5752528
2008,"Philippines",NA,0,16815548,6928225,239,1015,465995,15360262,74743,26601384,2792245,18908443,5859398
2008,"Poland","EU-28",9274920,0,1844440,16544937,102,0,2134630,778,8715120,10462100,3880857,5393302
2008,"Portugal","EU-28",203289,150680,701606,256009,0,0,383535,0,142101,557781,1555395,2503660
2008,"Rest of Africa",NA,5744234,17081645,38157029,49613099,1090053,17049897,17138719,3805557,54628475,217599821,58047380,40863883
2008,"Rest of East Asia",NA,565881,53072507,4626830,812484,842659,160000,3773278,489550,11311670,8494661,9762851,23388074
2008,"Rest of Eastern Europe and Central Asia",NA,18177804,360829,3007993,3793794,149172,0,933821,1822965,1643592,6799429,3783747,9529761
2008,"Rest of Latin America",NA,1954225,12501386,14710114,2362937,8562424,9763071,2336504,525449,142678411,18975008,42147474,14314987
2008,"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,0,40
2008,"Rest of Oceania",NA,0,15315,15728,3545,0,1877300,2791383,413,2655061,2120375,2206084,632960
2008,"Rest of South Asia",NA,1577893,8251655,2083890,347391,24850,0,2508025,17404,3298365,2641853,1980280,3354003
2008,"Rest of Western and Central Europe",NA,3966132,16140,7706887,2160086,363058,0,673392,700,3973026,2554598,3245385,4022033
2008,"Rest of Western Asia",NA,8433925,860157,1313142,1915473,1395,0,1339935,791148,1233967,3448346,10151119,16008506
2008,"Romania","EU-28",7180984,48917,7849083,1747457,90579,0,1853363,3476,706660,3649020,2155044,3831692
2008,"Russia",NA,63765140,738300,6682300,35232150,745990,0,8232841,104885,28995280,28846360,2657850,14349110
2008,"Slovakia","EU-28",1819479,0,1260616,1056924,11379,0,623552,0,678915,245277,169297,333102
2008,"Slovenia","EU-28",160297,0,319902,102982,137,0,13647,0,0,113081,227234,76548
2008,"South Africa",NA,2130000,3000,12700000,506477,282000,0,1010138,31419,19255404,2092496,6283877,2429026
2008,"Spain","EU-28",6714300,665200,3628600,12987238,748,0,6476734,56016,3987500,2178071,16242281,12612252
2008,"Sweden","EU-28",2202200,0,0,2992800,0,0,264800,0,1974900,853200,37137,288197
2008,"Thailand",NA,1045,32022992,4249354,296260,188795,9270510,1611908,121449,73501611,25587130,10322181,3903367
2008,"Turkey",NA,17782000,753325,4274000,6470595,34461,0,2663779,1820022,15488332,4225308,12904594,27161706
2008,"UK","EU-28",17227051,0,0,7055419,0,0,2002525,17472,7641000,5999000,431430,2554786
2008,"Ukraine",NA,25885400,100700,11446800,15314434,812800,0,9474656,4000,13437700,19545400,1848920,8541300
2008,"USA",NA,68016096,9241170,305911450,19231220,80748700,0,4915123,6691370,49427050,19665088,27779379,37733107
2008,"Uzbekistan",NA,6147100,113700,230800,206400,0,0,38677,3735800,0,1398700,2193800,6202900
2008,"Vietnam",NA,0,38729800,4573100,1899,267600,0,1654300,100600,16145500,11015500,6389500,8170625
2009,"Argentina",NA,8508156,1334155,13121380,3066099,30993380,0,3432403,392281,26960000,2457132,7497450,3232846
2009,"Australia",NA,21420177,60868,375670,12283734,80105,0,1995710,795000,31456858,1220994,3474805,1999898
2009,"Austria","EU-28",1523368,0,2168838,1471947,71333,0,255416,2503,3083135,722098,1148522,595742
2009,"Bangladesh",NA,849046,48144000,729629,13178,58899,0,606202,972791,5232649,5573025,3670525,3420762
2009,"Belarus",NA,1979000,0,448663,5741841,0,0,644001,46893,3972992,7124981,699704,2315292
2009,"Belgium","EU-28",1909768,0,807866,537775,0,0,49062,13330,5186179,3296077,634840,1997438
2009,"Brazil",NA,5055525,12651144,50719822,2488300,57345382,1122399,3487827,3293038,691606147,28572005,37341869,11027208
2009,"Bulgaria","EU-28",3976852,43441,1290833,931962,400,0,1558551,702,0,231745,402169,480188
2009,"Canada",NA,26949900,0,9561200,13180800,3581600,0,14139568,28500,657700,4584500,797731,2165550
2009,"Chile",NA,1145290,127311,1345649,507236,0,0,144981,19414,1042417,935858,5764832,2040258
2009,"China",NA,115115000,195103008,163974000,7371300,14981500,670000,34275506,19533561,122765700,145814000,118714027,511605676
2009,"Croatia","EU-28",936076,0,2182521,323970,115159,0,201812,0,1217041,270251,354223,1242619
2009,"Cyprus","EU-28",14690,0,0,42130,0,0,13568,0,0,114548,163886,108114
2009,"Czechia","EU-28",4358073,0,889574,2588728,13641,0,1265979,461,3038220,752539,272681,192203
2009,"Denmark","EU-28",5940400,0,0,4223400,0,0,637618,0,1898200,1617700,74275,291167
2009,"Egypt",NA,8522995,5520482,7686091,1027361,22436,0,747215,292033,20815683,4135108,9816839,21351164
2009,"Estonia","EU-28",342520,0,0,530946,0,0,136167,0,0,139767,9156,70624
2009,"Finland","EU-28",887000,0,0,3373900,0,0,139900,0,559000,755300,18803,260989
2009,"France","EU-28",38336865,137132,15513841,16385322,109842,0,7476937,412438,35160333,7154800,9072929,5501860
2009,"Germany","EU-28",25192350,0,4527228,20030621,1000,0,6379277,0,25919041,11683100,2778974,3657022
2009,"Greece","EU-28",2139472,214964,2414495,474809,50,0,2459283,827871,1409250,944454,3256028,4092290
2009,"Hungary","EU-28",4419163,11722,7528380,1631097,75587,0,1856572,500,737014,560615,1443734,1609651
2009,"India",NA,80679400,135672992,16719500,17711500,9964500,0,26360000,14914080,285029312,45133600,68982649,91438225
2009,"Indonesia",NA,0,64398888,17629740,0,974512,9e+07,20366970,188903,26400000,25643365,17903129,9740876
2009,"Iran",NA,12093028,2137006,1335003,2387620,172299,0,368754,253604,4836792,4109013,12057376,17762917
2009,"Ireland","EU-28",690100,0,0,1376075,0,0,23700,0,60000,336100,29193,210022
2009,"Italy","EU-28",6534746,1620400,7877700,1672900,468200,0,3689168,4100,3307681,1760988,18361998,15481773
2009,"Japan",NA,674200,10592000,165,195020,229900,0,21311,1,5164000,3896700,3391109,11675825
2009,"Latvia","EU-28",1036400,0,0,626700,0,0,206700,100,0,525400,16022,182671
2009,"Lithuania","EU-28",2100200,0,23800,1682600,0,0,418500,31,682000,662500,70774,245854
2009,"Luxembourg","EU-28",90903,0,2453,95206,0,0,18132,0,0,20044,21147,1200
2009,"Malaysia",NA,0,2511043,36396,0,0,85705499,627651,8228,350000,88369,939141,953920
2009,"Malta","EU-28",13800,0,0,2100,0,0,5,0,0,10069,10137,78252
2009,"Mexico",NA,4116161,263028,20142816,6763665,120900,367084,1327727,323897,49493402,1726601,15983172,11749561
2009,"Morocco",NA,6371430,50040,204520,3817729,1000,0,954862,1830,3566410,1246469,3115178,5358381
2009,"Netherlands","EU-28",1402040,0,244911,347471,0,0,15163,21097,5734969,7180981,761034,4746666
2009,"New Zealand",NA,403463,0,237844,482973,0,0,5182,3538,0,557400,1249772,944631
2009,"Pakistan",NA,24033000,10324050,3261500,528500,31,0,1174748,6335039,50138410,3418905,6088890,5536186
2009,"Philippines",NA,0,16266417,7034033,251,842,516115,15709149,71639,22932819,2877856,19177655,5943365
2009,"Poland","EU-28",9789586,0,1706600,18330230,209,0,2533750,491,10849200,9702800,3685278,5812587
2009,"Portugal","EU-28",124146,161761,634069,198249,0,0,457699,0,11762,493744,1662366,2717453
2009,"Rest of Africa",NA,9171067,17690112,40056668,44707699,1049382,17778554,17780068,3073009,57787005,211904006,62774121,43130275
2009,"Rest of East Asia",NA,755468,53434554,5334362,828917,901690,160000,3785616,552930,11009927,8525923,9532506,23888851
2009,"Rest of Eastern Europe and Central Asia",NA,23687710,425199,2704273,4448949,144754,0,1093775,1613318,1005382,7140485,3925410,9991355
2009,"Rest of Latin America",NA,2889653,13356152,13762744,2793914,7006567,10020598,2297808,406998,148601843,20603797,43821987,14693670
2009,"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,0,43
2009,"Rest of Oceania",NA,0,15067,14263,4245,0,1911820,2786356,409,2422061,2127744,2222721,648397
2009,"Rest of South Asia",NA,1348343,8241756,2121691,342410,25792,0,2473683,18067,3287468,3041037,2082688,3579337
2009,"Rest of Western and Central Europe",NA,3756694,19870,7957507,1972756,361078,0,617517,734,4565283,2602560,3535747,4126786
2009,"Rest of Western Asia",NA,12129604,818074,1075281,2726271,1649,0,1442016,761896,898918,3251685,10428739,16314005
2009,"Romania","EU-28",5202526,72418,7973258,1624750,84268,0,1681308,3789,816814,4003980,2286304,3911752
2009,"Russia",NA,61739751,912969,3963433,28999323,943660,0,7251067,104668,24892024,31133958,3055380,14826581
2009,"Slovakia","EU-28",1537905,0,988053,806866,15379,0,582322,114,898807,216123,151166,299256
2009,"Slovenia","EU-28",136904,0,302600,97001,193,0,11857,0,0,120628,233947,81897
2009,"South Africa",NA,1958000,3067,12050000,559811,516000,0,959514,27591,18655088,1929602,6016974,2415940
2009,"Spain","EU-28",4804772,913754,3515617,8660790,2767,0,7887784,79452,4225580,2752155,14625534,13335529
2009,"Sweden","EU-28",2277900,0,0,2964000,0,0,317200,0,2405800,857900,36475,331085
2009,"Thailand",NA,1063,32397856,4616119,311731,178224,8162703,1506809,121177,66816446,30523902,10221007,3817099
2009,"Turkey",NA,20600000,750000,4250000,7969627,38442,0,2627083,1725005,17274674,4426337,14200464,26723844
2009,"UK","EU-28",14075596,0,0,7543417,0,0,1966371,16840,8457000,6396000,414221,2608880
2009,"Ukraine",NA,20886400,142900,10486300,13897810,1043500,0,8409976,2200,10067500,19666100,2000900,9028600
2009,"USA",NA,60365728,9972230,331921050,16407158,91469550,0,4079623,6417250,54626130,20507386,27475845,39441304
2009,"Uzbekistan",NA,6639800,194700,230800,313000,0,0,63717,3439351,0,1530500,2442500,6781900
